EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Year,Month,Day,Date,Values,Altitude,Latitude,Longitude,Georeference
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,10,2021-10-01T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,12,2021-12-01T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,14,2021-01-14T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,17,2021-01-17T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,19,2021-01-19T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,21,2021-01-21T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,23,2021-01-23T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,25,2021-01-25T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,27,2021-01-27T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8019043,Barcelona,,L'Eixample,19,lead,https://wikidata.org/entity/Q708,µg/m3,Traffic,urban area,https://wikidata.org/entity/Q702492,8019,2021,1,31,2021-01-31T00:00:00Z,0.01,26,41.38530304,2.15403025,POINT (2.15403025 41.38530304)
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8307,2021,1,04,2021-04-01T00:00:00Z,0.11,14,41.22399823,1.72628975,POINT (1.72628975 41.22399823)
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8307,2021,1,05,2021-05-01T00:00:00Z,0.11,14,41.22399823,1.72628975,POINT (1.72628975 41.22399823)
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8307,2021,1,11,2021-11-01T00:00:00Z,0.14,14,41.22399823,1.72628975,POINT (1.72628975 41.22399823)
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8307,2021,1,20,2021-01-20T00:00:00Z,0.13,14,41.22399823,1.72628975,POINT (1.72628975 41.22399823)
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban area,https://wikidata.org/entity/Q702492,8307,2021,1,25,2021-01-25T00:00:00Z,0.11,14,41.22399823,1.72628975,POINT (1.72628975 41.22399823)
8282001,Tiana,https://wikidata.org/entity/Q12026,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8282,2021,2,01,2021-01-02T00:00:00Z,0.15,111,41.48150265,2.26915007,POINT (2.26915007 41.48150265)
8282001,Tiana,https://wikidata.org/entity/Q12026,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8282,2021,2,11,2021-11-02T00:00:00Z,0.13,111,41.48150265,2.26915007,POINT (2.26915007 41.48150265)
8282001,Tiana,https://wikidata.org/entity/Q12026,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8282,2021,2,26,2021-02-26T00:00:00Z,0.13,111,41.48150265,2.26915007,POINT (2.26915007 41.48150265)
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural area,https://wikidata.org/entity/Q175185,25051,2021,2,05,2021-05-02T00:00:00Z,0.55,1060,42.36829808,1.77680973,POINT (1.77680973 42.36829808)
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural area,https://wikidata.org/entity/Q175185,25051,2021,2,11,2021-11-02T00:00:00Z,1.03,1060,42.36829808,1.77680973,POINT (1.77680973 42.36829808)
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural area,https://wikidata.org/entity/Q175185,25051,2021,2,17,2021-02-17T00:00:00Z,0.87,1060,42.36829808,1.77680973,POINT (1.77680973 42.36829808)
