EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Date,Values,Latitude,Longitude
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8307,2021-04-01,0.11,41.22399823,1.72628975
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8307,2021-05-01,0.11,41.22399823,1.72628975
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8307,2021-11-01,0.14,41.22399823,1.72628975
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8307,2021-01-20,0.13,41.22399823,1.72628975
8307006,Vilanova i la Geltrú,https://wikidata.org/entity/Q15553,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,urban_area,https://wikidata.org/entity/Q702492,8307,2021-01-25,0.11,41.22399823,1.72628975
8282001,Tiana,https://wikidata.org/entity/Q12026,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8282,2021-01-02,0.15,41.48150265,2.26915007
8282001,Tiana,https://wikidata.org/entity/Q12026,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8282,2021-11-02,0.13,41.48150265,2.26915007
8282001,Tiana,https://wikidata.org/entity/Q12026,Ajuntament,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8282,2021-02-26,0.13,41.48150265,2.26915007
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural_area,https://wikidata.org/entity/Q175185,25051,2021-05-02,0.55,42.36829808,1.77680973
25051001,Bellver de Cerdanya,https://wikidata.org/entity/Q13732,CEIP Mare de Déu de Talló,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Background,rural_area,https://wikidata.org/entity/Q175185,25051,2021-11-02,1.03,42.36829808,1.77680973
